"Sistema","Modulo","NroEmpresa","Parametro","Valor","Criptografado","Dtaalteracao","Usualteracao"
"CRM","DOCMANAGER","0","CatchUsrMonit","Ú]flã-vá-#D@£ÑÄñlÜ*Tz}ú0J.t}1n*uÁñãY£8MwÕqS¦h:|h=Âq""ÅM@iYiic","S","28/03/2018 16:07:34","VANESSA.ALVES"
"CRM","DOCMANAGER","0","DocVincNotDNA","0","N","17/04/2025 08:36:23","MATHEUS.AUGUSTO"
"CRM","DOCMANAGER","0","FolderCatchChkIn","Captura","N","15/09/2014 09:50:53","VTCCONS"
"CRM","DOCMANAGER","0","FolderCatchChkInBK","Backup","N","15/09/2014 09:50:54","VTCCONS"
"CRM","DOCMANAGER","0","FolderDoc","DocManager","N","11/09/2014 11:31:53","VTCCONS"
"CRM","DOCMANAGER","0","FolderDocFTP","DocManager","N","20/07/2026 10:48:11","RICARDO.MORETTI"
"CRM","DOCMANAGER","0","FTP2WebPorta","21","N","20/07/2026 09:55:10","RICARDO.MORETTI"
"CRM","DOCMANAGER","0","FTPCatchPorta","21","N","20/07/2026 09:55:12","RICARDO.MORETTI"
"CRM","DOCMANAGER","0","FTPCHKINPorta","21","N","20/07/2026 09:55:11","RICARDO.MORETTI"
"CRM","DOCMANAGER","0","FTPWebPorta","21","N","20/07/2026 09:55:09","RICARDO.MORETTI"
"CRM","DOCMANAGER","0","FTPWebPwd","ÚTjFâ*9lÉi~k,z|Ñ2arL;u^Õ8I.u¢4r/AÑgQxÓl])5ôyÅàvÅãB5+{lZÖQiih","S","07/03/2022 10:56:35","VTCCONS"
"CRM","DOCMANAGER","0","FTPWebSrv","10.150.14.65","N","20/07/2026 10:42:20","RICARDO.MORETTI"
"CRM","DOCMANAGER","0","FTPWebUsr","vortice","N","11/09/2014 11:31:53","VTCCONS"
"CRM","DOCMANAGER","0","RemoveArqOrig","1","N","01/07/2013 10:37:05","VTCCONS"
"CRM","MESSCENTER","0","SMSCONTA","colorado_ribeirao","N","31/05/2019 15:51:49","VTCCONS"
"CRM","MESSCENTER","0","SMSHORAFIM","1080","N","31/05/2019 09:51:43","DIEGO.MARQUES"
"CRM","MESSCENTER","0","SMSHORAINICIO","540","N","31/05/2019 09:51:43","DIEGO.MARQUES"
"CRM","MESSCENTER","0","SMSKEYCODE","ÚUláP-jÕBüq?À7nSÉk.u÷óu3o>$4p+uÀêàU`5áZÂg.(6NDdN%í.|mZÅO`Ghh","S","31/05/2019 15:51:49","VTCCONS"
"CRM","MESSCENTER","0","SMSPROVEDOR","INFOBIP","N","31/05/2019 15:50:37","VTCCONS"
"CRM","MESSCENTER","0","SMSURL","https://api-sp3.infobip.com/sms/1/text/single","N","31/05/2019 15:51:49","VTCCONS"
"CRM","OUT","0","EMAIL_CONTA","368","N","08/05/2025 13:28:28","V:GUI.BATISTA"
"CRM","OUT","0","EnviaDocsProcesso","0","N","08/05/2025 13:29:22","V:GUI.BATISTA"
"CRM","OUT","0","OutNaoCarregaDetalheAgenda","0","N","08/05/2025 13:29:22","V:GUI.BATISTA"
"CRM","OUT","0","OutParLinkBaseAgenda","http://192.168.109.209/CRMWeb/Forms/frmAndamento.aspx?p=","N","08/05/2025 13:29:22","V:GUI.BATISTA"
"CRM","OUT","0","OutParLinkBasePessoa","http://192.168.109.209/CRMWeb/Forms/frmPessoa.aspx?p=","N","08/05/2025 13:29:22","V:GUI.BATISTA"
"CRM","OUT","0","OutPrioridadeAssunto","0","N","08/05/2025 13:29:22","V:GUI.BATISTA"
